category,sl.no.,ministry/department,scheme,actuals_2021_2022_revenue,actuals_2021_2022_capital,actuals_2021_2022_total,budget_estimates_2022_2023_revenue,budget_estimates_2022_2023_capital,budget_estimates_2022_2023_total,revised_estimates2022_2023_revenue,revised_estimates_2022_2023_capital,revised_estimates2022_2023_total,budget_estimates2023_2024_revenue,budget_estimates2023_2024_capital,budget_estimates2023_2024_total,validated_total_2021_2022,validated_total_2021_2022_check
Demand No. 1,0,Department of Agriculture and Farmers Welfare,Total,12790.24,0.0,12790.24,20472.12,0.0,20472.12,18165.61,0.0,18165.61,18894.59,0.0,18894.59,12790.24,True
Demand No. 1,1,Department of Agriculture and Farmers Welfare,Rashtriya Krishi Vikas Yojna,0.0,0.0,0.0,1737.49,0.0,1737.49,1176.09,0.0,1176.09,1307.79,0.0,1307.79,0.0,True
Demand No. 1,2,Department of Agriculture and Farmers Welfare,Market Intervention Scheme and Price Support Scheme (MIS-PSS),0.0,0.0,0.0,251.7,0.0,251.7,244.9,0.0,244.9,0.0,0.0,0.0,0.0,True
Demand No. 1,3,Department of Agriculture and Farmers Welfare,National Food Security Mission,106.19,0.0,106.19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,106.19,True
Demand No. 1,4,Department of Agriculture and Farmers Welfare,Organic Value Chain Development for North East Region,4.33,0.0,4.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.33,True
Demand No. 1,5,Department of Agriculture and Farmers Welfare,National Project on Soil Health and Fertility,0.03,0.0,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03,True
Demand No. 1,6,Department of Agriculture and Farmers Welfare,Rainfed Area Development and Climate Change,13.78,0.0,13.78,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.78,True
Demand No. 1,7,Department of Agriculture and Farmers Welfare,Paramparagat Krishi Vikas Yojana,14.96,0.0,14.96,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.96,True
Demand No. 1,8,Department of Agriculture and Farmers Welfare,National Project on Agro- Forestry,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,True
Demand No. 1,9,Department of Agriculture and Farmers Welfare,National Mission on Horticulture,108.53,0.0,108.53,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,108.53,True
Demand No. 1,10,Department of Agriculture and Farmers Welfare,Sub- Mission on Seed and Planting Material,5.77,0.0,5.77,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.77,True
Demand No. 1,11,Department of Agriculture and Farmers Welfare,Sub - Mission on Agriculture Extension,125.15,0.0,125.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,125.15,True
Demand No. 1,12,Department of Agriculture and Farmers Welfare,Information Technology,2.86,0.0,2.86,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.86,True
Demand No. 1,13,Department of Agriculture and Farmers Welfare,Sub- Mission on Agriculture Mechanisation,139.34,0.0,139.34,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,139.34,True
Demand No. 1,14,Department of Agriculture and Farmers Welfare,Integrated Scheme on Agricultural Cooperation,56.68,0.0,56.68,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,56.68,True
Demand No. 1,15,Department of Agriculture and Farmers Welfare,Agriculture Marketing,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True
Demand No. 1,15.01,Department of Agriculture and Farmers Welfare,Integrated Scheme on Agriculture Marketing,2.32,0.0,2.32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.32,True
Demand No. 1,16,Department of Agriculture and Farmers Welfare,Promotion of Agricultural Mechanization for in-situ Management of Crop Residue,116.2,0.0,116.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,116.2,True
Demand No. 1,17,Department of Agriculture and Farmers Welfare,Agriculture Infrastructure Fund (AIF),0.37,0.0,0.37,75.7,0.0,75.7,25.0,0.0,25.0,75.7,0.0,75.7,0.37,True
Demand No. 1,18,Department of Agriculture and Farmers Welfare,Pradhan Mantri Kisan Samman Nidhi (PM-Kisan),8201.08,0.0,8201.08,11166.37,0.0,11166.37,9775.0,0.0,9775.0,10185.0,0.0,10185.0,8201.08,True
Demand No. 1,19,Department of Agriculture and Farmers Welfare,"Formation and Promotion of 10,000 Farmer Producer Organizations (FPOs)",0.0,0.0,0.0,83.0,0.0,83.0,173.5,0.0,173.5,174.0,0.0,174.0,0.0,True
Demand No. 1,20,Department of Agriculture and Farmers Welfare,Crop Insurance Scheme,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True
Demand No. 1,20.01,Department of Agriculture and Farmers Welfare,Pradhan Mantri Fasal Bima Yojana,2402.84,0.0,2402.84,2666.94,0.0,2666.94,2639.58,0.0,2639.58,2666.94,0.0,2666.94,2402.84,True
Demand No. 1,21,Department of Agriculture and Farmers Welfare,Interest Subsidy for Short Term Credit to Farmers,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True
Demand No. 1,21.01,Department of Agriculture and Farmers Welfare,Interest Subsidy for Short Term Credit to Farmers,900.64,0.0,900.64,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,900.64,True
Demand No. 1,22,Department of Agriculture and Farmers Welfare,Pradhan Mantri Krishi Sinchai Yojana (PMKSY)- Per Drop More Crop,240.49,0.0,240.49,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,240.49,True
Demand No. 1,23,Department of Agriculture and Farmers Welfare,Rashtriya Krishi Vikas Yojna,345.69,0.0,345.69,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,345.69,True
Demand No. 1,24,Department of Agriculture and Farmers Welfare,National Bamboo Mission,1.99,0.0,1.99,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.99,True
Demand No. 1,25,Department of Agriculture and Farmers Welfare,Modified Interest Subvention Scheme (MISS),0.0,0.0,0.0,3328.39,0.0,3328.39,3328.39,0.0,3328.39,3337.73,0.0,3337.73,0.0,True
Demand No. 1,26,Department of Agriculture and Farmers Welfare,Krishionnati Yojana,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True
Demand No. 1,26.01,Department of Agriculture and Farmers Welfare,Food and Nutition Security,0.0,0.0,0.0,232.7,0.0,232.7,153.0,0.0,153.0,0.0,0.0,0.0,0.0,True
Demand No. 1,26.02,Department of Agriculture and Farmers Welfare,Edible Oil-Oil Palm,0.0,0.0,0.0,149.4,0.0,149.4,116.2,0.0,116.2,0.0,0.0,0.0,0.0,True
Demand No. 1,26.03,Department of Agriculture and Farmers Welfare,Edible Oil-Oilseeds,0.0,0.0,0.0,99.6,0.0,99.6,84.49,0.0,84.49,0.0,0.0,0.0,0.0,True
Demand No. 1,26.04,Department of Agriculture and Farmers Welfare,Organic Value Chain Development for North East Region,0.0,0.0,0.0,29.01,0.0,29.01,9.01,0.0,9.01,0.0,0.0,0.0,0.0,True
Demand No. 1,26.05,Department of Agriculture and Farmers Welfare,Integrated Development of Horticulture,0.0,0.0,0.0,331.94,0.0,331.94,182.0,0.0,182.0,0.0,0.0,0.0,0.0,True
Demand No. 1,26.06,Department of Agriculture and Farmers Welfare,Seed and Planting Material,0.0,0.0,0.0,42.0,0.0,42.0,41.0,0.0,41.0,0.0,0.0,0.0,0.0,True
Demand No. 1,26.07,Department of Agriculture and Farmers Welfare,Agriculture Extension,0.0,0.0,0.0,184.92,0.0,184.92,175.2,0.0,175.2,0.0,0.0,0.0,0.0,True
Demand No. 1,26.08,Department of Agriculture and Farmers Welfare,Digital Agriculture,0.0,0.0,0.0,9.96,0.0,9.96,11.95,0.0,11.95,0.0,0.0,0.0,0.0,True
Demand No. 1,26.09,Department of Agriculture and Farmers Welfare,Agriculture Marketing,0.0,0.0,0.0,83.0,0.0,83.0,30.3,0.0,30.3,0.0,0.0,0.0,0.0,True
Demand No. 1,0,Department of Agriculture and Farmers Welfare,Total-Krishionnati Yojana,0.0,0.0,0.0,1162.53,0.0,1162.53,803.15,0.0,803.15,0.0,0.0,0.0,0.0,True
Demand No. 1,27,Department of Agriculture and Farmers Welfare,National Mission on Natural Farming,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,71.47,0.0,71.47,0.0,True
Demand No. 1,28,Department of Agriculture and Farmers Welfare,Krishionnati Yojana.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1075.96,0.0,1075.96,0.0,True
Demand No. 2,0,Department of Agricultural Research and Education,Total,190.0,0.0,190.0,165.7,0.0,165.7,165.7,0.0,165.7,201.79,0.0,201.79,190.0,True
Demand No. 2,29,Department of Agricultural Research and Education,Animal Science,20.25,0.0,20.25,18.58,0.0,18.58,18.58,0.0,18.58,22.55,0.0,22.55,20.25,True
Demand No. 2,30,Department of Agricultural Research and Education,Agricultural Engineering,4.63,0.0,4.63,4.01,0.0,4.01,4.01,0.0,4.01,5.96,0.0,5.96,4.63,True
Demand No. 2,31,Department of Agricultural Research and Education,Fisheries Science,11.62,0.0,11.62,9.88,0.0,9.88,9.88,0.0,9.88,11.99,0.0,11.99,11.62,True
Demand No. 2,32,Department of Agricultural Research and Education,Agricultural Extension,47.18,0.0,47.18,40.12,0.0,40.12,40.12,0.0,40.12,48.7,0.0,48.7,47.18,True
Demand No. 2,33,Department of Agricultural Research and Education,Agricultural Universities and Institutions,25.74,0.0,25.74,21.92,0.0,21.92,21.92,0.0,21.92,28.42,0.0,28.42,25.74,True
Demand No. 2,34,Department of Agricultural Research and Education,Economic Statistics and Management,2.12,0.0,2.12,1.85,0.0,1.85,1.85,0.0,1.85,0.0,0.0,0.0,2.12,True
Demand No. 2,35,Department of Agricultural Research and Education,Natural Resource Management Institutes including Agro Forestry Research,13.72,0.0,13.72,11.67,0.0,11.67,11.67,0.0,11.67,18.32,0.0,18.32,13.72,True
Demand No. 2,36,Department of Agricultural Research and Education,Climate Resilient Agriculture Initiative,4.02,0.0,4.02,3.42,0.0,3.42,3.42,0.0,3.42,0.0,0.0,0.0,4.02,True
Demand No. 2,37,Department of Agricultural Research and Education,Crop Science,46.34,0.0,46.34,41.91,0.0,41.91,41.91,0.0,41.91,50.87,0.0,50.87,46.34,True
Demand No. 2,38,Department of Agricultural Research and Education,Horticultural Science,14.38,0.0,14.38,12.34,0.0,12.34,12.34,0.0,12.34,14.98,0.0,14.98,14.38,True
Demand No. 4,0,Ministry of Ayush,Total,68.11,0.0,68.11,95.0,0.0,95.0,76.0,0.0,76.0,126.0,0.0,126.0,68.11,True
Demand No. 4,39,Ministry of Ayush,"Central Sector Scheme for Conservation, Development and Sustainable Management of Medicinal Plants",0.08,0.0,0.08,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,0.08,True
Demand No. 4,40,Ministry of Ayush,National AYUSH Misson,50.38,0.0,50.38,76.0,0.0,76.0,57.0,0.0,57.0,107.0,0.0,107.0,50.38,True
Demand No. 4,41,Ministry of Ayush,Other Autonomous Bodies,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True
Demand No. 4,41.01,Ministry of Ayush,Support from Gross Budgetary Support (GBS),1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,True
Demand No. 4,42,Ministry of Ayush,Central Council for Research in Ayurvedic Sciences,9.53,0.0,9.53,10.0,0.0,10.0,10.0,0.0,10.0,10.0,0.0,10.0,9.53,True
Demand No. 4,43,Ministry of Ayush,Central Council for Research in Homeopathy,3.0,0.0,3.0,3.0,0.0,3.0,3.0,0.0,3.0,3.0,0.0,3.0,3.0,True
Demand No. 4,44,Ministry of Ayush,Central Council for Research in Unani Medicine,4.0,0.0,4.0,4.0,0.0,4.0,4.0,0.0,4.0,4.0,0.0,4.0,4.0,True
Demand No. 4,45,Ministry of Ayush,National Medicinal Plants Board,0.12,0.0,0.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12,True
Demand No. 6,0,Department of Fertilisers,Total,13092.43,0.0,13092.43,9062.5,0.0,9062.5,18963.3,0.0,18963.3,14862.24,0.0,14862.24,13092.43,True
Demand No. 6,46,Department of Fertilisers,Urea Subsidy,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True
Demand No. 6,46.01,Department of Fertilisers,Payment for Import of Urea,4170.78,0.0,4170.78,1708.97,0.0,1708.97,3228.21,0.0,3228.21,2573.0,0.0,2573.0,4170.78,True
Demand No. 6,46.02,Department of Fertilisers,Payment for Indigenous Urea,4541.74,0.0,4541.74,3867.53,0.0,3867.53,9831.95,0.0,9831.95,8637.24,0.0,8637.24,4541.74,True
Demand No. 6,0,Department of Fertilisers,Total-Urea Subsidy,8712.52,0.0,8712.52,5576.5,0.0,5576.5,13060.16,0.0,13060.16,11210.24,0.0,11210.24,8712.52,True
Demand No. 6,47,Department of Fertilisers,Nutrient Based Subsidy,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True
Demand No. 6,47.01,Department of Fertilisers,Payment for Indigenous P and K Fertilizers,2650.31,0.0,2650.31,2091.6,0.0,2091.6,3493.44,0.0,3493.44,2116.5,0.0,2116.5,2650.31,True
Demand No. 6,47.02,Department of Fertilisers,Payment for Imported P and K Fertilizers,1725.97,0.0,1725.97,1394.4,0.0,1394.4,2409.7,0.0,2409.7,1535.5,0.0,1535.5,1725.97,True
Demand No. 6,47.03,Department of Fertilisers,Payment for City Compost,3.63,0.0,3.63,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.63,True
Demand No. 6,0,Department of Fertilisers,Total- Nutrient Based Subsidy,4379.91,0.0,4379.91,3486.0,0.0,3486.0,5903.14,0.0,5903.14,3652.0,0.0,3652.0,4379.91,True
Demand No. 7,0,Department of Pharmaceuticals,Total,0.0,0.0,0.0,35.07,0.0,35.07,39.6,0.0,39.6,51.05,0.0,51.05,0.0,True
Demand No. 7,48,Department of Pharmaceuticals,Jan Aushadhi Scheme,0.0,0.0,0.0,6.02,0.0,6.02,8.3,0.0,8.3,9.55,0.0,9.55,0.0,True
Demand No. 7,49,Department of Pharmaceuticals,National Institutes of Pharmaceutical Education and Research (NIPERs),0.0,0.0,0.0,29.05,0.0,29.05,31.3,0.0,31.3,41.5,0.0,41.5,0.0,True
Demand No. 9,0,Ministry of Coal,Total,69.66,0.0,69.66,26.1,0.0,26.1,77.49,0.0,77.49,46.77,0.0,46.77,69.66,True
Demand No. 9,50,Ministry of Coal,Research and Development,0.0,0.0,0.0,0.83,0.0,0.83,0.69,0.0,0.69,1.74,0.0,1.74,0.0,True
Demand No. 9,51,Ministry of Coal,"Conservation, Safety and Infrastructure Development in Coal Mines",30.65,0.0,30.65,4.52,0.0,4.52,41.11,0.0,41.11,7.68,0.0,7.68,30.65,True
Demand No. 9,52,Ministry of Coal,Exploration of Coal and Lignite,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True
Demand No. 9,52.01,Ministry of Coal,Pragramme Component,39.01,0.0,39.01,20.75,0.0,20.75,35.69,0.0,35.69,37.35,0.0,37.35,39.01,True
Demand No. 10,0,Department of Commerce,Total,17.81,0.0,17.81,25.01,0.0,25.01,25.5,0.0,25.5,22.22,0.0,22.22,17.81,True
Demand No. 10,53,Department of Commerce,Marine Product Export Development Authority (MPEDA),7.99,0.0,7.99,8.0,0.0,8.0,8.0,0.0,8.0,8.0,0.0,8.0,7.99,True
Demand No. 10,54,Department of Commerce,Tea Board,1.03,0.0,1.03,5.42,0.0,5.42,5.42,0.0,5.42,5.42,0.0,5.42,1.03,True
Demand No. 10,55,Department of Commerce,Coffee Board,0.5,0.0,0.5,3.3,0.0,3.3,4.29,0.0,4.29,3.3,0.0,3.3,0.5,True
Demand No. 10,56,Department of Commerce,Rubber Board,4.29,0.0,4.29,4.29,0.0,4.29,4.29,0.0,4.29,2.5,0.0,2.5,4.29,True
Demand No. 10,57,Department of Commerce,Spices Board,4.0,0.0,4.0,4.0,0.0,4.0,3.5,0.0,3.5,3.0,0.0,3.0,4.0,True
Demand No. 13,0,Department of Telecommunications,Total,27.03,0.0,27.03,41.5,0.0,41.5,41.5,0.0,41.5,460.65,415.0,875.65,27.03,True
Demand No. 13,58,Department of Telecommunications,Compensation to Service Providers for creation and augmentation of telecom infrastructure,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True
Demand No. 13,58.01,Department of Telecommunications,Bharatnet,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,415.0,415.0,0.0,True
Demand No. 13,58.02,Department of Telecommunications,Compensation to Telecom Service Providers,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,415.0,0.0,415.0,0.0,True
Demand No. 13,0,Department of Telecommunications,Total-Compensation to Service Providers for creation and augmentation of telecom infrastructure,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,415.0,415.0,830.0,0.0,True
Demand No. 13,59,Department of Telecommunications,Centre for Development of Telematics (C-DoT),27.03,0.0,27.03,41.5,0.0,41.5,41.5,0.0,41.5,45.65,0.0,45.65,27.03,True
Demand No. 14,0,Department of Consumer Affairs,Total,2.41,0.0,2.41,2.08,0.0,2.08,1.45,0.0,1.45,1.5,0.0,1.5,2.41,True
Demand No. 14,60,Department of Consumer Affairs,Consumer Awareness (Advertising and Publicity),2.41,0.0,2.41,2.08,0.0,2.08,1.45,0.0,1.45,1.5,0.0,1.5,2.41,True
Demand No. 15,0,Department of Food and Public Distribution,Total,23913.37,0.0,23913.37,17666.34,0.0,17666.34,24492.2,0.0,24492.2,18693.48,0.0,18693.48,23913.37,True
Demand No. 15,61,Department of Food and Public Distribution,Generating Awareness amongst TPDS beneficiaries,0.0,0.0,0.0,0.68,0.0,0.68,0.68,0.0,0.68,0.68,0.0,0.68,0.0,True
Demand No. 15,62,Department of Food and Public Distribution,Integrated Management of Public Distribution System,0.5,0.0,0.5,3.0,0.0,3.0,3.0,0.0,3.0,0.0,0.0,0.0,0.5,True
Demand No. 15,63,Department of Food and Public Distribution,Sugar Subsidy payable under Public Distribution System,20.75,0.0,20.75,29.05,0.0,29.05,29.05,0.0,29.05,29.05,0.0,29.05,20.75,True
Demand No. 15,64,Department of Food and Public Distribution,Food Subsidy  to Food Corporation of India under National Food Security Act.,17191.0,0.0,17191.0,12111.35,0.0,12111.35,17819.77,0.0,17819.77,12520.7,0.0,12520.7,17191.0,True
Demand No. 15,65,Department of Food and Public Distribution,Food Subsidy for Decentralized Procurement of Foodgrains under NFSA,6236.25,0.0,6236.25,5026.58,0.0,5026.58,6144.02,0.0,6144.02,5479.3,0.0,5479.3,6236.25,True
Demand No. 15,66,Department of Food and Public Distribution,Fortification of Rice and its Distribution under Public Distribution System,0.07,0.0,0.07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07,True
Demand No. 15,67,Department of Food and Public Distribution,Assistance to State Agencies for intra-state movement of foodgrains and FPS dealers margin under NFSA,464.8,0.0,464.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,464.8,True
Demand No. 15,68,Department of Food and Public Distribution,Assistance to States Agencies for Intra-State Movement of Foodgrains and FPS Dealers Margin under NFSA,0.0,0.0,0.0,495.68,0.0,495.68,495.68,0.0,495.68,663.75,0.0,663.75,0.0,True
Demand No. 16,0,Ministry of Cooperation,Total,0.0,0.0,0.0,121.2,0.0,121.2,164.86,0.0,164.86,9.15,0.0,9.15,0.0,True
Demand No. 16,69,Ministry of Cooperation,Integrated Scheme on Agriculture Cooperation (ISAC),0.0,0.0,0.0,8.3,0.0,8.3,110.22,0.0,110.22,0.0,0.0,0.0,0.0,True
Demand No. 16,70,Ministry of Cooperation,Co-operative Education,0.0,0.0,0.0,4.99,0.0,4.99,4.99,0.0,4.99,4.99,0.0,4.99,0.0,True
Demand No. 16,71,Ministry of Cooperation,Cooperative Training,0.0,0.0,0.0,4.16,0.0,4.16,4.16,0.0,4.16,4.16,0.0,4.16,0.0,True
Demand No. 16,72,Ministry of Cooperation,Computerization of Primary Agricultural Credit Societies,0.0,0.0,0.0,58.26,0.0,58.26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True
Demand No. 16,73,Ministry of Cooperation,Prosperity through Cooperatives,0.0,0.0,0.0,45.49,0.0,45.49,45.49,0.0,45.49,0.0,0.0,0.0,0.0,True
Demand No. 18,0,Ministry of Culture,Total,60.78,0.0,60.78,44.2,0.0,44.2,69.46,0.0,69.46,54.01,0.0,54.01,60.78,True
Demand No. 18,74,Ministry of Culture,"Centenaries and Anniversaries,  Celebrations and Schemes",31.84,0.0,31.84,4.15,0.0,4.15,6.64,0.0,6.64,9.06,0.0,9.06,31.84,True
Demand No. 18,75,Ministry of Culture,Kala Sanskriti Vikas Yojana,22.66,0.0,22.66,26.38,0.0,26.38,29.59,0.0,29.59,30.0,0.0,30.0,22.66,True
Demand No. 18,76,Ministry of Culture,Development of Museums,6.28,0.0,6.28,9.2,0.0,9.2,32.5,0.0,32.5,14.2,0.0,14.2,6.28,True
Demand No. 18,77,Ministry of Culture,Development of Libraries and Archives,0.0,0.0,0.0,3.74,0.0,3.74,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True
Demand No. 18,78,Ministry of Culture,National mission on cultural mapping and roadmap,0.0,0.0,0.0,0.73,0.0,0.73,0.73,0.0,0.73,0.75,0.0,0.75,0.0,True
Demand No. 23,0,Ministry of Development of North Eastern Region,Total,218.91,0.0,218.91,230.54,0.0,230.54,230.54,100.0,330.54,108.0,380.0,488.0,218.91,True
Demand No. 23,79,Ministry of Development of North Eastern Region,Schemes of North East Council,25.83,0.0,25.83,40.54,0.0,40.54,45.54,0.0,45.54,68.0,0.0,68.0,25.83,True
Demand No. 23,80,Ministry of Development of North Eastern Region,Schemes of North East Council - Special Development Projects,19.17,0.0,19.17,5.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,19.17,True
Demand No. 23,81,Ministry of Development of North Eastern Region,Central Pool of Resources for North East and Sikkim,68.91,0.0,68.91,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,68.91,True
Demand No. 23,82,Ministry of Development of North Eastern Region,North East Special Infrastructure Development Scheme (NESIDS),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True
Demand No. 23,82.01,Ministry of Development of North Eastern Region,NESIDS Programme,105.0,0.0,105.0,185.0,0.0,185.0,175.0,0.0,175.0,0.0,220.0,220.0,105.0,True
Demand No. 23,83,Ministry of Development of North Eastern Region,Prime Minister's Development Initiative for North East Region (PM-DevINE),0.0,0.0,0.0,0.0,0.0,0.0,10.0,100.0,110.0,40.0,160.0,200.0,0.0,True
Demand No. 25,0,Department of School Education and Literacy,Total,6944.17,0.0,6944.17,10993.95,0.0,10993.95,9990.48,0.0,9990.48,12876.01,0.0,12876.01,6944.17,True
Demand No. 25,84,Department of School Education and Literacy,Pradhan Mantri Poshan Shakti Nirman (PM POSHAN),0.0,0.0,0.0,2046.39,0.0,2046.39,2455.71,0.0,2455.71,2320.27,0.0,2320.27,0.0,True
Demand No. 25,85,Department of School Education and Literacy,National Means cum Merit Scholarship Scheme,35.47,0.0,35.47,66.0,0.0,66.0,51.0,0.0,51.0,61.0,0.0,61.0,35.47,True
Demand No. 25,86,Department of School Education and Literacy,Teachers Training and Adult Education,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True
Demand No. 25,86.01,Department of School Education and Literacy,Padhna Likhna Abhiyan,0.19,0.0,0.19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.19,True
